DatePosition,Date
200,1/16/2016
201,1/17/2016
202,1/18/2016
203,1/19/2016
204,1/20/2016
205,1/21/2016
206,1/22/2016
207,1/23/2016
208,1/24/2016
209,1/25/2016
210,1/26/2016
211,1/27/2016
212,1/28/2016
213,1/29/2016
214,1/30/2016
215,1/31/2016
216,2/1/2016
217,2/2/2016
218,2/3/2016
219,2/4/2016
220,2/5/2016
221,2/6/2016
222,2/7/2016
223,2/8/2016
224,2/9/2016
225,2/10/2016
226,2/11/2016
227,2/12/2016
228,2/13/2016
229,2/14/2016
230,2/15/2016
231,2/16/2016
232,2/17/2016
233,2/18/2016
234,2/19/2016
235,2/20/2016
236,2/21/2016
237,2/22/2016
238,2/23/2016
239,2/24/2016
240,2/25/2016
241,2/26/2016
242,2/27/2016
243,2/28/2016
244,2/29/2016
245,3/1/2016
246,3/2/2016
247,3/3/2016
248,3/4/2016
249,3/5/2016
250,3/6/2016
251,3/7/2016
252,3/8/2016
253,3/9/2016
254,3/10/2016
255,3/11/2016
256,3/12/2016
257,3/13/2016
258,3/14/2016
259,3/15/2016
260,3/16/2016
261,3/17/2016
262,3/18/2016
263,3/19/2016
264,3/20/2016
265,3/21/2016
266,3/22/2016
267,3/23/2016
268,3/24/2016
269,3/25/2016
270,3/26/2016
271,3/27/2016
272,3/28/2016
273,3/29/2016
274,3/30/2016
275,3/31/2016
276,4/1/2016
277,4/2/2016
278,4/3/2016
279,4/4/2016
280,4/5/2016
281,4/6/2016
282,4/7/2016
283,4/8/2016
284,4/9/2016
285,4/10/2016
286,4/11/2016
287,4/12/2016
288,4/13/2016
289,4/14/2016
290,4/15/2016
291,4/16/2016
292,4/17/2016
293,4/18/2016
294,4/19/2016
295,4/20/2016
296,4/21/2016
297,4/22/2016
298,4/23/2016
299,4/24/2016
300,4/25/2016
301,4/26/2016
302,4/27/2016
303,4/28/2016
304,4/29/2016
305,4/30/2016
306,5/1/2016
307,5/2/2016
308,5/3/2016
309,5/4/2016
310,5/5/2016
311,5/6/2016
312,5/7/2016
313,5/8/2016
314,5/9/2016
315,5/10/2016
316,5/11/2016
317,5/12/2016
318,5/13/2016
319,5/14/2016
320,5/15/2016
321,5/16/2016
322,5/17/2016
323,5/18/2016
324,5/19/2016
325,5/20/2016
326,5/21/2016
327,5/22/2016
328,5/23/2016
329,5/24/2016
330,5/25/2016
331,5/26/2016
332,5/27/2016
333,5/28/2016
334,5/29/2016
335,5/30/2016
336,5/31/2016
337,6/1/2016
338,6/2/2016
339,6/3/2016
340,6/4/2016
341,6/5/2016
342,6/6/2016
343,6/7/2016
344,6/8/2016
345,6/9/2016
346,6/10/2016
347,6/11/2016
348,6/12/2016
349,6/13/2016
350,6/14/2016
351,6/15/2016
352,6/16/2016
353,6/17/2016
354,6/18/2016
355,6/19/2016
356,6/20/2016
357,6/21/2016
358,6/22/2016
359,6/23/2016
360,6/24/2016
361,6/25/2016
362,6/26/2016
363,6/27/2016
364,6/28/2016
365,6/29/2016
366,6/30/2016
367,7/1/2016
368,7/2/2016
369,7/3/2016
370,7/4/2016
371,7/5/2016
372,7/6/2016
373,7/7/2016
374,7/8/2016
375,7/9/2016
376,7/10/2016
377,7/11/2016
378,7/12/2016
379,7/13/2016
380,7/14/2016
381,7/15/2016
382,7/16/2016
383,7/17/2016
384,7/18/2016
385,7/19/2016
386,7/20/2016
387,7/21/2016
388,7/22/2016
389,7/23/2016
390,7/24/2016
391,7/25/2016
392,7/26/2016
393,7/27/2016
394,7/28/2016
395,7/29/2016
396,7/30/2016
397,7/31/2016
398,8/1/2016
399,8/2/2016
400,8/3/2016
401,8/4/2016
402,8/5/2016
403,8/6/2016
404,8/7/2016
405,8/8/2016
406,8/9/2016
407,8/10/2016
408,8/11/2016
409,8/12/2016
410,8/13/2016
411,8/14/2016
412,8/15/2016
413,8/16/2016
414,8/17/2016
415,8/18/2016
416,8/19/2016
417,8/20/2016
418,8/21/2016
419,8/22/2016
420,8/23/2016
421,8/24/2016
422,8/25/2016
423,8/26/2016
424,8/27/2016
425,8/28/2016
426,8/29/2016
427,8/30/2016
428,8/31/2016
429,9/1/2016
430,9/2/2016
431,9/3/2016
432,9/4/2016
433,9/5/2016
434,9/6/2016
435,9/7/2016
436,9/8/2016
437,9/9/2016
438,9/10/2016
439,9/11/2016
440,9/12/2016
441,9/13/2016
442,9/14/2016
443,9/15/2016
444,9/16/2016
445,9/17/2016
446,9/18/2016
447,9/19/2016
448,9/20/2016
449,9/21/2016
450,9/22/2016
451,9/23/2016
452,9/24/2016
453,9/25/2016
454,9/26/2016
455,9/27/2016
456,9/28/2016
457,9/29/2016
458,9/30/2016
459,10/1/2016
460,10/2/2016
461,10/3/2016
462,10/4/2016
463,10/5/2016
464,10/6/2016
465,10/7/2016
466,10/8/2016
467,10/9/2016
468,10/10/2016
469,10/11/2016
470,10/12/2016
471,10/13/2016
472,10/14/2016
473,10/15/2016
474,10/16/2016
475,10/17/2016
476,10/18/2016
477,10/19/2016
478,10/20/2016
479,10/21/2016
480,10/22/2016
481,10/23/2016
482,10/24/2016
483,10/25/2016
484,10/26/2016
485,10/27/2016
486,10/28/2016
487,10/29/2016
488,10/30/2016
489,10/31/2016
490,11/1/2016
491,11/2/2016
492,11/3/2016
493,11/4/2016
494,11/5/2016
495,11/6/2016
496,11/7/2016
497,11/8/2016
498,11/9/2016
499,11/10/2016
500,11/11/2016
501,11/12/2016
502,11/13/2016
503,11/14/2016
504,11/15/2016
505,11/16/2016
506,11/17/2016
507,11/18/2016
508,11/19/2016
509,11/20/2016
510,11/21/2016
511,11/22/2016
512,11/23/2016
513,11/24/2016
514,11/25/2016
515,11/26/2016
516,11/27/2016
517,11/28/2016
518,11/29/2016
519,11/30/2016
520,12/1/2016
521,12/2/2016
522,12/3/2016
523,12/4/2016
524,12/5/2016
525,12/6/2016
526,12/7/2016
527,12/8/2016
528,12/9/2016
529,12/10/2016
530,12/11/2016
531,12/12/2016
532,12/13/2016
533,12/14/2016
534,12/15/2016
535,12/16/2016
536,12/17/2016
537,12/18/2016
538,12/19/2016
539,12/20/2016
540,12/21/2016
541,12/22/2016
542,12/23/2016
543,12/24/2016
544,12/25/2016
545,12/26/2016
546,12/27/2016
547,12/28/2016
548,12/29/2016
549,12/30/2016
550,12/31/2016
551,1/1/2017
552,1/2/2017
553,1/3/2017
554,1/4/2017
555,1/5/2017
556,1/6/2017
557,1/7/2017
558,1/8/2017
559,1/9/2017
560,1/10/2017
561,1/11/2017
562,1/12/2017
563,1/13/2017
564,1/14/2017
565,1/15/2017
566,1/16/2017
567,1/17/2017
568,1/18/2017
569,1/19/2017
570,1/20/2017
571,1/21/2017
572,1/22/2017
573,1/23/2017
574,1/24/2017
575,1/25/2017
576,1/26/2017
577,1/27/2017
578,1/28/2017
579,1/29/2017
580,1/30/2017
581,1/31/2017
582,2/1/2017
583,2/2/2017
584,2/3/2017
585,2/4/2017
586,2/5/2017
587,2/6/2017
588,2/7/2017
589,2/8/2017
590,2/9/2017
591,2/10/2017
592,2/11/2017
593,2/12/2017
594,2/13/2017
595,2/14/2017
596,2/15/2017
597,2/16/2017
598,2/17/2017
599,2/18/2017
600,2/19/2017
601,2/20/2017
602,2/21/2017
603,2/22/2017
604,2/23/2017
605,2/24/2017
606,2/25/2017
607,2/26/2017
608,2/27/2017
609,2/28/2017
610,3/1/2017
611,3/2/2017
612,3/3/2017
613,3/4/2017
614,3/5/2017
615,3/6/2017
616,3/7/2017
617,3/8/2017
618,3/9/2017
619,3/10/2017
620,3/11/2017
621,3/12/2017
622,3/13/2017
623,3/14/2017
624,3/15/2017
625,3/16/2017
626,3/17/2017
627,3/18/2017
628,3/19/2017
629,3/20/2017
630,3/21/2017
631,3/22/2017
632,3/23/2017
633,3/24/2017
634,3/25/2017
635,3/26/2017
636,3/27/2017
637,3/28/2017
638,3/29/2017
639,3/30/2017
640,3/31/2017
641,4/1/2017
642,4/2/2017
643,4/3/2017
644,4/4/2017
645,4/5/2017
646,4/6/2017
647,4/7/2017
648,4/8/2017
649,4/9/2017
650,4/10/2017
651,4/11/2017
652,4/12/2017
653,4/13/2017
654,4/14/2017
655,4/15/2017
656,4/16/2017
657,4/17/2017
658,4/18/2017
659,4/19/2017
660,4/20/2017
661,4/21/2017
662,4/22/2017
663,4/23/2017
664,4/24/2017
665,4/25/2017
666,4/26/2017
667,4/27/2017
668,4/28/2017
669,4/29/2017
670,4/30/2017
671,5/1/2017
672,5/2/2017
673,5/3/2017
674,5/4/2017
675,5/5/2017
676,5/6/2017
677,5/7/2017
678,5/8/2017
679,5/9/2017
680,5/10/2017
681,5/11/2017
682,5/12/2017
683,5/13/2017
684,5/14/2017
685,5/15/2017
686,5/16/2017
687,5/17/2017
688,5/18/2017
689,5/19/2017
690,5/20/2017
691,5/21/2017
692,5/22/2017
693,5/23/2017
694,5/24/2017
695,5/25/2017
696,5/26/2017
697,5/27/2017
698,5/28/2017
699,5/29/2017
700,5/30/2017
701,5/31/2017
702,6/1/2017
703,6/2/2017
704,6/3/2017
705,6/4/2017
706,6/5/2017
707,6/6/2017
708,6/7/2017
709,6/8/2017
710,6/9/2017
711,6/10/2017
712,6/11/2017
713,6/12/2017
714,6/13/2017
715,6/14/2017
716,6/15/2017
717,6/16/2017
718,6/17/2017
719,6/18/2017
720,6/19/2017
721,6/20/2017
722,6/21/2017
723,6/22/2017
724,6/23/2017
725,6/24/2017
726,6/25/2017
727,6/26/2017
728,6/27/2017
729,6/28/2017
730,6/29/2017
731,6/30/2017
732,7/1/2017
733,7/2/2017
734,7/3/2017
735,7/4/2017
736,7/5/2017
737,7/6/2017
738,7/7/2017
739,7/8/2017
740,7/9/2017
741,7/10/2017
742,7/11/2017
743,7/12/2017
744,7/13/2017
745,7/14/2017
746,7/15/2017
747,7/16/2017
748,7/17/2017
749,7/18/2017
750,7/19/2017
751,7/20/2017
752,7/21/2017
753,7/22/2017
754,7/23/2017
755,7/24/2017
756,7/25/2017
757,7/26/2017
758,7/27/2017
759,7/28/2017
760,7/29/2017
761,7/30/2017
762,7/31/2017
763,8/1/2017
764,8/2/2017
765,8/3/2017
766,8/4/2017
767,8/5/2017
768,8/6/2017
769,8/7/2017
770,8/8/2017
771,8/9/2017
772,8/10/2017
773,8/11/2017
774,8/12/2017
775,8/13/2017
776,8/14/2017
777,8/15/2017
778,8/16/2017
779,8/17/2017
780,8/18/2017
781,8/19/2017
782,8/20/2017
783,8/21/2017
784,8/22/2017
785,8/23/2017
786,8/24/2017
787,8/25/2017
788,8/26/2017
789,8/27/2017
790,8/28/2017
791,8/29/2017
792,8/30/2017
793,8/31/2017
